Tanggal;Terakhir
12/11/2023;15.490
05/11/2023;15.690
29/10/2023;15.725
22/10/2023;15.935
15/10/2023;15.870
08/10/2023;15.680
01/10/2023;15.605
24/09/2023;15.450
17/09/2023;15.370
10/09/2023;15.350
03/09/2023;15.320
27/08/2023;15.235
20/08/2023;15.290
13/08/2023;15.280
06/08/2023;15.210
30/07/2023;15.165
23/07/2023;15.090
16/07/2023;15.020
09/07/2023;14.955
02/07/2023;15.130
25/06/2023;14.990
18/06/2023;14.990
11/06/2023;14.930
04/06/2023;14.835
28/05/2023;14.985
21/05/2023;14.950
14/05/2023;14.920
07/05/2023;14.745
30/04/2023;14.670
23/04/2023;14.665
16/04/2023;14.840
09/04/2023;14.695
02/04/2023;14.910
26/03/2023;14.990
19/03/2023;15.150
12/03/2023;15.340
05/03/2023;15.445
26/02/2023;15.295
19/02/2023;15.220
12/02/2023;15.200
05/02/2023;15.130
29/01/2023;14.890
22/01/2023;14.980
15/01/2023;15.070
08/01/2023;15.140
01/01/2023;15.630
25/12/2022;15.565
18/12/2022;15.590
11/12/2022;15.595
04/12/2022;15.582
27/11/2022;15.425
20/11/2022;15.670
13/11/2022;15.685
06/11/2022;15.490
30/10/2022;15.735
23/10/2022;15.548
16/10/2022;15.630
09/10/2022;15.425
02/10/2022;15.250
25/09/2022;15.225
18/09/2022;15.035
11/09/2022;14.950
04/09/2022;14.828
28/08/2022;14.895
21/08/2022;14.815
14/08/2022;14.835
07/08/2022;14.665
31/07/2022;14.890
24/07/2022;14.830
17/07/2022;15.015
10/07/2022;14.990
03/07/2022;14.975
26/06/2022;14.935
19/06/2022;14.845
12/06/2022;14.821
05/06/2022;14.550
29/05/2022;14.435
22/05/2022;14.575
15/05/2022;14.650
08/05/2022;14.610
01/05/2022;14.497
24/04/2022;14.495
17/04/2022;14.356
10/04/2022;14.343
03/04/2022;14.360
27/03/2022;14.365
20/03/2022;14.340
13/03/2022;14.340
06/03/2022;14.300
27/02/2022;14.385
20/02/2022;14.365
13/02/2022;14.325
06/02/2022;14.350
30/01/2022;14.378
23/01/2022;14.385
16/01/2022;14.335
09/01/2022;14.295
02/01/2022;14.355
26/12/2021;14.250
19/12/2021;14.220
12/12/2021;14.365
05/12/2021;14.370
28/11/2021;14.395
21/11/2021;14.300
14/11/2021;14.235
07/11/2021;14.233
31/10/2021;14.325
24/10/2021;14.165
17/10/2021;14.120
10/10/2021;14.070
03/10/2021;14.220
26/09/2021;14.305
19/09/2021;14.255
12/09/2021;14.225
05/09/2021;14.200
29/08/2021;14.260
22/08/2021;14.415
15/08/2021;14.450
08/08/2021;14.385
01/08/2021;14.350
25/07/2021;14.460
18/07/2021;14.490
11/07/2021;14.495
04/07/2021;14.525
27/06/2021;14.530
20/06/2021;14.420
13/06/2021;14.370
06/06/2021;14.188
30/05/2021;14.290
23/05/2021;14.280
16/05/2021;14.350
09/05/2021;14.195
02/05/2021;14.280
25/04/2021;14.440
18/04/2021;14.520
11/04/2021;14.560
04/04/2021;14.560
28/03/2021;14.520
21/03/2021;14.410
14/03/2021;14.400
07/03/2021;14.380
28/02/2021;14.290
21/02/2021;14.240
14/02/2021;14.060
07/02/2021;13.970
31/01/2021;14.020
24/01/2021;14.020
17/01/2021;14.020
10/01/2021;14.010
03/01/2021;13.980
27/12/2020;14.040
20/12/2020;14.150
13/12/2020;14.080
06/12/2020;14.070
29/11/2020;14.085
22/11/2020;14.070
15/11/2020;14.150
08/11/2020;14.150
01/11/2020;14.190
25/10/2020;14.620
18/10/2020;14.650
11/10/2020;14.670
04/10/2020;14.675
27/09/2020;14.830
20/09/2020;14.845
13/09/2020;14.730
06/09/2020;14.860
30/08/2020;14.740
23/08/2020;14.615
16/08/2020;14.770
09/08/2020;14.720
02/08/2020;14.580
26/07/2020;14.530
19/07/2020;14.540
12/07/2020;14.620
05/07/2020;14.360
28/06/2020;14.450
21/06/2020;14.150
14/06/2020;14.050
07/06/2020;14.050
31/05/2020;13.850
24/05/2020;14.575
17/05/2020;14.680
10/05/2020;14.830
03/05/2020;14.890
26/04/2020;14.825
19/04/2020;15.350
12/04/2020;15.400
05/04/2020;15.800
